cpu,mem,time,io,net,lost
12,82,3,202,2.186216,0
29,83,7,201,2.795544,0
1,83,12,201,2.219112,0
47,83,17,201,2.675488,0
9,83,22,201,0.322344,0
41,83,26,201,3.155872,0
34,83,31,200,2.635152,0
27,83,35,200,2.731344,0
68,84,41,200,2.86768,0
12,83,45,200,1.536768,0
9,83,50,200,1.329024,0
20,83,55,199,3.292272,0
13,84,59,199,4.196536,0
28,84,64,199,3.171896,0
26,85,69,199,2.83576,0
30,85,74,199,2.539152,0
26,86,78,198,3.020016,0
17,85,83,198,2.635128,0
19,85,87,198,3.083952,0
19,88,92,198,2.675256,0
19,86,97,198,2.554968,0
14,86,101,198,2.490856,0
18,86,106,197,2.514976,0
32,86,112,197,2.530904,0
17,86,116,197,2.579096,0
21,87,121,197,2.602976,0
33,87,127,196,2.490864,0
26,87,132,196,2.330504,0
65,87,137,196,3.043936,0
23,87,142,196,2.867448,0
38,87,146,196,2.562856,0
56,87,151,196,3.020024,0
17,87,155,195,2.378728,0
28,88,159,195,2.490856,0
66,88,164,195,2.667256,0
4,87,169,195,2.787528,0
9,88,173,195,2.154112,0
52,88,178,194,3.340312,0
29,88,182,194,2.130048,0
19,89,188,194,2.130488,0
4,88,194,194,1.120352,0
41,89,198,194,2.715544,0
29,88,203,193,1.520984,0
36,89,207,193,1.721736,0
11,89,213,193,1.865816,0
41,89,217,193,2.587408,0
36,89,222,193,1.898376,1
59,89,227,193,2.515912,0
34,89,231,192,2.15496,1
17,89,236,192,1.665656,0
30,89,240,192,1.489264,0
36,89,245,192,4.220416,0
28,89,251,192,1.73788,1
18,89,256,191,1.84232,1
37,89,261,191,2.860256,1
29,89,266,191,1.64172,1
36,89,270,191,1.272824,1
32,89,275,191,2.363776,1
26,89,280,191,3.724568,1
45,89,285,190,2.972352,1
45,89,291,190,2.828184,1
33,89,295,190,1.617968,1
19,89,300,190,2.07496,1
33,88,305,190,1.810128,1
18,89,309,189,1.369264,1
54,89,314,189,3.284488,1
27,89,319,189,2.378592,1
17,89,324,189,1.914376,1
53,89,329,189,2.035056,1
10,89,334,189,1.769736,1
29,89,338,188,1.23288,1
42,89,343,188,2.772224,1
27,89,348,188,3.47636,0
44,90,352,188,2.555744,1
2,89,357,188,1.545472,1
39,89,362,188,2.62004,0
15,89,366,187,1.946112,0
40,89,371,187,1.729832,0
14,89,375,187,1.88972,0
42,92,380,187,1.962224,1
28,89,385,187,1.817784,0
8,89,390,187,2.667512,0
40,89,395,186,1.945792,0
31,89,399,186,2.29856,0
22,89,403,186,2.17808,0
48,89,409,186,1.120768,0
52,89,414,186,1.745576,0
34,89,419,186,1.817648,0
49,89,424,185,2.202248,0
33,88,428,185,2.34648,0
3,88,433,185,0.936192,0
52,88,438,185,1.906024,0
1,88,442,185,2.33844,0
0,88,447,185,2.033992,0
28,88,452,184,2.53072,0
37,88,457,184,2.50692,0
